        x              y       Side   Disk   Ring   Module
      1.82824      8.24294      1      9      1      5
      1.94957      9.12586      1      9      1      5
      1.80322      8.63209      1      9      1      5
      1.71423      8.21032      1      9      1      5
      1.82301      9.09075      1      9      1      5
      1.88567      10.4537      1      9      1      5
      1.32405      6.99494      1      9      1      5
      1.82944      10.2802      1      9      1      5
      1.10815      6.72203      1      9      1      5
      1.15103      6.97166      1      9      1      5
      1.47346      9.01882      1      9      1      5
      1.15991      7.47517      1      9      1      5
      1.48531      9.92921      1      9      1      5
      1.12509      7.79682      1      9      1      5
      1.06349      7.85725      1      9      1      5
      1.32155      9.74228      1      9      1      5
      1.31811      9.93542      1      9      1      5
      0.679529     6.34396      1      9      1      5
      1.20441      9.68988      1      9      1      5
      0.947374     8.30437      1      9      1      5
      1.09576      9.70709      1      9      1      5
      0.667444     7.02798      1      9      1      5
      0.832411     8.07631      1      9      1      5
      0.554323     6.3465       1      9      1      5
      0.814223     8.08932      1      9      1      5
      0.696181     8.0472       1      9      1      5
      0.537423     7.63229      1      9      1      5
      0.49296      7.33944      1      9      1      5
      0.734227     9.03453      1      9      1      5
      0.706688     9.00849      1      9      1      5
      0.485615     7.87783      1      9      1      5
      0.450345     8.15709      1      9      1      5
      0.183506     6.76         1      9      1      5
      0.387894     8.25821      1      9      1      5
      0.125571     6.80972      1      9      1      5
      0.118599     7.27709      1      9      1      5
      0.513057     10.0427      1      9      1      5
      0.107343     7.58958      1      9      1      5
      0.143612      7.9624      1      9      1      5
      0.271271     9.02677      1      9      1      5
      0.314755     9.31384      1      9      1      5
      0.364682     9.84916      1      9      1      5
      -0.180402    6.473        1      9      1      5
      0.3055       9.89518      1      9      1      5
      -0.225002    6.75375      1      9      1      5
      0.326232     10.3925      1      9      1      5
      -0.223177    7.00686      1      9      1      5
      -0.12342     8.18018      1      9      1      5
      -0.033484     8.8419      1      9      1      5
      -0.268463    7.47017      1      9      1      5
      -0.189351    8.68881      1      9      1      5
      -0.231874    9.33326      1      9      1      5
      0.393541     8.29455      1      9      1      6
      0.493768     7.37408      1      9      1      6
      -0.0585771   9.38702      1      9      1      6
      0.141395     7.99741      1      9      1      6
